feature,score,selected
fractal_katz__ch09,0.10351067959101257,True
line_length__ch09,0.1016750896856693,True
min__ch09,0.09464013563985585,True
max__ch19,0.09284748477934568,True
min__ch10,0.09041471850706317,True
max__ch09,0.08776367671651952,True
fractal_katz__ch17,0.08388296796218397,True
line_length__ch17,0.08137133530497453,True
max__ch20,0.08034562274852042,True
min__ch19,0.08012437892087143,True
max__ch10,0.07906382000598922,True
min__ch13,0.07895834826182324,True
line_length__ch01,0.07854455114433412,True
fractal_katz__ch02,0.07820895040927955,True
fractal_katz__ch01,0.07809142191275886,True
line_length__ch10,0.07791631760322337,True
max__ch15,0.0772095038587346,True
max__ch14,0.07644754583801938,True
max__ch13,0.07596728778436268,True
fractal_katz__ch10,0.07566552929392767,True
max__ch16,0.07434215430541813,False
max__ch17,0.07360502458407625,False
fractal_katz__ch05,0.07354013685601002,False
line_length__ch05,0.0716210988087227,False
min__ch02,0.07135768775377427,False
fractal_katz__ch16,0.07060928194121163,False
fractal_katz__ch03,0.07058365979509151,False
line_length__ch02,0.07021686375448066,False
fractal_katz__ch04,0.06998306005918775,False
min__ch01,0.06954669004667213,False
line_length__ch15,0.06881570442570673,False
fractal_katz__ch18,0.0686879607450539,False
max__ch12,0.06758715733511833,False
line_length__ch04,0.06660132123411344,False
max__ch08,0.06658033065464686,False
fractal_katz__ch15,0.06616495373379228,False
max__ch11,0.06612240574628658,False
line_length__ch13,0.06582508557842615,False
max__ch05,0.06574513497965873,False
line_length__ch19,0.06568973664144884,False
fractal_katz__ch14,0.06560159445644542,False
max__ch18,0.06539159538398609,False
line_length__ch18,0.0648930012107467,False
line_length__ch03,0.0647429936084094,False
max__ch01,0.06465771140633692,False
fractal_katz__ch06,0.06421053882399597,False
min__ch12,0.06378893245349815,False
line_length__ch16,0.06373546946598618,False
line_length__ch07,0.06368087322908766,False
line_length__ch06,0.06358534493410795,False
fractal_katz__ch13,0.06352081194165149,False
line_length__ch14,0.0634355464055063,False
fractal_katz__ch19,0.062114601554656534,False
max__ch02,0.0617005168466116,False
min__ch07,0.06142592223517762,False
max__ch06,0.061420828296190555,False
line_length__ch08,0.061400271640503545,False
min__ch11,0.06134009790459194,False
line_length__ch11,0.06107016073203786,False
fractal_katz__ch07,0.06095382955495232,False
min__ch15,0.06093006392120359,False
min__ch05,0.060564521604822286,False
fractal_katz__ch08,0.06042658253073374,False
min__ch08,0.06019736281118204,False
min__ch17,0.05990030967741067,False
min__ch03,0.05945266604074084,False
min__ch20,0.05882524122768884,False
min__ch16,0.05786617045633902,False
min__ch06,0.05724373637892399,False
max__ch07,0.05613586753875066,False
min__ch14,0.05508222321048528,False
min__ch18,0.054290892299143856,False
max__ch04,0.05250283230299191,False
fractal_katz__ch11,0.05180282098380262,False
max__ch03,0.05167558759008717,False
amp_var__ch09,0.05092610236781381,False
line_length__ch12,0.05085872854425011,False
amp_var__ch15,0.05055224534425329,False
line_length__ch20,0.050370177767492974,False
amp_var__ch16,0.04926815832818621,False
fractal_katz__ch20,0.04752974544339472,False
amp_var__ch19,0.04691886093871123,False
fractal_katz__ch12,0.046771076054746175,False
min__ch04,0.045005689758852,False
amp_var__ch13,0.04370597902994389,False
amp_var__ch14,0.04062692953835034,False
amp_var__ch10,0.039375863034682546,False
amp_var__ch01,0.037100562541184434,False
amp_var__ch08,0.03636489580703417,False
amp_var__ch17,0.03576038409857052,False
amp_var__ch20,0.035264376284082743,False
amp_var__ch02,0.03438912301291297,False
amp_var__ch05,0.03255628585358328,False
amp_var__ch12,0.03188219197978759,False
amp_var__ch18,0.03172481257229065,False
amp_var__ch07,0.028759145953177523,False
autocorr__ch09,0.02631920199168425,False
autocorr__ch04,0.02573627030943082,False
amp_var__ch06,0.025393236836304567,False
amp_var__ch11,0.025281293380742254,False
autocorr__ch07,0.024939166380232525,False
amp_var__ch04,0.024486478032842873,False
autocorr__ch19,0.02282519113893744,False
autocorr__ch05,0.02054156480424263,False
amp_var__ch03,0.020436811352209983,False
autocorr__ch16,0.020408366712622028,False
autocorr__ch10,0.019597152970071363,False
autocorr__ch06,0.018676981789526037,False
autocorr__ch15,0.01832798180280948,False
autocorr__ch08,0.01787433671740768,False
autocorr__ch18,0.016004677801509493,False
autocorr__ch17,0.01589176106162693,False
autocorr__ch14,0.015092121646001821,False
autocorr__ch13,0.01481913391038292,False
autocorr__ch03,0.012975421843872015,False
autocorr__ch11,0.012583400573684234,False
spike_count__value,0.012101179432613351,False
autocorr__ch02,0.011478732095826727,False
autocorr__ch01,0.010370716853632445,False
autocorr__ch12,0.009363675767834367,False
autocorr__ch20,0.009249494462325147,False
mean__ch19,0.007486750492017968,False
mean__ch05,0.0071807314545497825,False
mean__ch10,0.005682970605524584,False
mean__ch03,0.00556717815391794,False
mean__ch09,0.005123825190615383,False
mean__ch04,0.004424266890774797,False
mean__ch01,0.0043150398100471055,False
mean__ch17,0.00414144512003678,False
mean__ch06,0.0036582318379188017,False
mean__ch12,0.003528270893875307,False
mean__ch13,0.0035064826156661066,False
mean__ch15,0.0033017038170395363,False
mean__ch16,0.003252221439730585,False
mean__ch14,0.0031177640301718323,False
mean__ch08,0.0027067460414000877,False
mean__ch02,0.0025278809752840026,False
mean__ch18,0.0023561188525731414,False
mean__ch07,0.0023334153431102678,False
mean__ch11,0.00020272864616366348,False
mean__ch20,0.0,False
