metric,mean,std,min,max
accuracy,0.7788292013606352,0.14341261597603996,0.4474053295932679,0.9726907630522088
balanced_accuracy,0.6576054576986877,0.10502690078391398,0.5164179104477612,0.8648648648648649
precision,0.6629849860850969,0.2859416161858726,0.28627450980392155,1.0
recall,0.4380302283077249,0.24606507722924625,0.03283582089552239,0.8524590163934426
f1,0.46003809620769015,0.2279053727657786,0.06358381502890173,0.84375
roc_auc,0.7662845584288838,0.11648399748350745,0.5663489238203484,0.9426443654384831
pr_auc,0.605528968198127,0.22642430897403695,0.2471176865721981,0.8846926617281544
